text,label,scam_category,caller_type,audio_duration,urgency_level,contains_blackmail,language_style
"Hello ji Beta ghar aa gaya hoon, darwaza khol do.",0,none,family,34,low,False,hinglish
Namaste ma'am Project ka review meeting kal 4 baje hai kya?,0,none,delivery_agent,54,low,False,hinglish
Ji namaskar Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,relative,other_scammer,92,medium,False,hinglish
"Ji namaskar Doctor appointment kal 9 baje hai, fasting rehna.",0,none,delivery_agent,47,low,False,hinglish
"Special Investigation Team se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,bank_scammer,74,medium,False,hinglish
"Madam ek minute Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,office_colleague,75,low,False,hinglish
"Hello ma'am Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,delivery_agent,88,low,False,hinglish
"Delhi Police se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,amazon,other_scammer,143,medium,False,hinglish
Ji namaskar Ek gang aapke number ka misuse karke gande videos bana raha hai. Turant verify karna hoga.,1,police_blackmail,police_impersonator,93,high,True,hinglish
"Ji haan suniye Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,aadhaar,other_scammer,65,medium,False,hinglish
"Police headquarters se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,bank_scammer,154,medium,False,hinglish
"Hello sir Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,friend,53,low,False,hinglish
"Ji haan suniye Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,friend,25,low,False,hinglish
Aap sun rahe hain na? Aapke Aadhaar card ka istemal karke fake SIM issue ki gayi hai.,1,police_digital_arrest,police_impersonator,235,medium,False,hinglish
